Year,UK,UK Investment,UK GDP,US,US Investment,US GDP
1973,24.80768839,66598.817,268460.39,22.2178569,316688,1425376
1974,26.32816747,75127.027,285348.485,21.78958261,336702,1545243
1975,25.60536962,78655.774,307184.685,20.64877287,347912,1684904
1976,25.26540219,84265.704,333522.116,21.12477127,395754,1873412
1977,23.97900816,87032.183,362951.555,22.45394188,467452,2081826
1978,23.58514743,95475.907,404813.696,23.73504156,558153,2351599
1979,23.72069794,107890.027,454834.96,24.4266334,641769,2627333
1980,22.88424855,111182.338,485846.576,23.53187809,672378,2857307
1981,20.73762952,109417.689,527628.719,23.34737847,748760,3207041
1982,20.74029267,118510.645,571402.954,22.51610374,752891,3343789
1983,20.57480703,127327.662,618852.278,22.41124061,814433,3634038
1984,21.79424897,142910.919,655727.661,23.47590024,947866,4037613
1985,21.80822288,153643.4,704520.496,23.68534164,1027702,4338979
1986,21.63155584,160365.674,741350.623,23.59714134,1080662,4579631
1987,22.47668155,179959.665,800650.508,23.06105909,1119664,4855215
1988,24.42027164,214021.309,876408.388,22.47485791,1176882,5236438
1989,25.55128876,238711.025,934242.602,22.0229262,1242441,5641580
1990,23.62176818,230625.476,976326.049,21.28528172,1269272,5963144
1991,20.78266477,207454.382,998208.768,20.11701931,1238832,6158129
1992,19.40533462,198914.759,1025051.94,19.82716511,1292796,6520327
1993,18.53731803,199364.438,1075476.17,20.09015305,1377895,6858559
1994,18.96472699,216328.43,1140688.343,20.40379919,1486873,7287236
1995,18.08791507,215986.245,1194091.437,20.86459909,1594003,7639749
1996,18.61365969,237527.35,1276091.612,21.32030211,1721214,8073122
1997,17.17171608,230975.205,1345090.985,21.58283622,1851279,8577552
1998,17.54510009,243074.167,1385424.795,22.25525463,2016953,9062817
1999,17.49373114,251444.279,1437339.336,22.78768358,2194721,9631172
2000,17.80937034,278255.144,1562408.657,23.14627949,2372714,10250952
2001,17.74284879,292820.328,1650356.893,22.53850881,2385009,10581929
2002,17.71823818,305999.666,1727032.129,21.5399006,2354119,10929108
2003,17.51077217,316659.204,1808368.02,21.62260561,2477183,11456450
2004,17.47773577,336086.61,1922941.361,22.127737,2703389,12217196
2005,17.59107604,347722.425,1976697.868,22.93464084,2990493,13039197
2006,17.82827616,376801.399,2113504.388,23.03817363,3182858,13815583
2007,18.14704684,395310.822,2178375.498,22.32301439,3231084,14474228
2008,17.6488454,400820.22,2271084.657,21.23547261,3136450,14769862
2009,16.14589856,352161.605,2181121.129,18.81013536,2723344,14478067
2010,16.05728875,367743.529,2290196.899,18.31393776,2756059,15048970
2011,15.71163067,369972.732,2354769.787,18.73698335,2922919,15599731
2012,15.75635388,384843.183,2442463.44,19.51260523,3171573,16253970
2013,15.96779092,409125.967,2562195.165,19.72242085,3321886,16843196
2014,16.57233182,441928.369,2666663.773,20.29994609,3562780,17550687
2015,17.37445934,480791.98,2767234.195,20.44916125,3722979,18206023
2016,17.90489772,517863.209,2892299.174,20.37283447,3808723,18695106
2017,18.24803289,555085.424,3041891.843,20.6481615,4021712,19477337
2018,17.99578498,563204.683,3129647.768,20.91814088,4295134,20533058
2019,18.1932575,606904.934,3335878.327,20.97879442,4485471,21380976
2020,17.46376921,562385.927,3220300.957,21.31601596,4489254,21060474
2021,17.68095585,626270.328,3542061.488,21.18619704,4939579,23315081
