"Statistics name :","Prefectural Data Social Indicators by Prefecture"
"Table Number :","0000010204"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics D Administrative Base"
"Implementation date :","-","-"
"Cities, Towns and Villages :","-"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/D Administrative Base Code","#D0310401"
"SURVEY YEAR Code","SURVEY YEAR","AREA Code","AREA","/D Administrative Base","#D0310401_Percentage of social welfare expenditure (Prefecture)[%]"
"1975100000","1975","00000","All Japan","","1.57"
"1975100000","1975","01000","Hokkaido","","0.96"
"1975100000","1975","02000","Aomori-ken","","0.81"
"1975100000","1975","03000","Iwate-ken","","1.08"
"1975100000","1975","04000","Miyagi-ken","","1.14"
"1975100000","1975","05000","Akita-ken","","1.98"
"1975100000","1975","06000","Yamagata-ken","","1.57"
"1975100000","1975","07000","Fukushima-ken","","0.95"
"1975100000","1975","08000","Ibaraki-ken","","1.67"
"1975100000","1975","09000","Tochigi-ken","","1.06"
"1975100000","1975","10000","Gumma-ken","","2.27"
"1975100000","1975","11000","Saitama-ken","","2.24"
"1975100000","1975","12000","Chiba-ken","","0.94"
"1975100000","1975","13000","Tokyo-to","","2.93"
"1975100000","1975","14000","Kanagawa-ken","","1.76"
"1975100000","1975","15000","Niigata-ken","","0.59"
"1975100000","1975","16000","Toyama-ken","","0.82"
"1975100000","1975","17000","Ishikawa-ken","","0.84"
"1975100000","1975","18000","Fukui-ken","","1.43"
"1975100000","1975","19000","Yamanashi-ken","","1.23"
"1975100000","1975","20000","Nagano-ken","","1.28"
"1975100000","1975","21000","Gifu-ken","","1.33"
"1975100000","1975","22000","Shizuoka-ken","","0.66"
"1975100000","1975","23000","Aichi-ken","","1.75"
"1975100000","1975","24000","Mie-ken","","1.37"
"1975100000","1975","25000","Shiga-ken","","1.11"
"1975100000","1975","26000","Kyoto-fu","","1.67"
"1975100000","1975","27000","Osaka-fu","","1.74"
"1975100000","1975","28000","Hyogo-ken","","1.39"
"1975100000","1975","29000","Nara-ken","","2.16"
"1975100000","1975","30000","Wakayama-ken","","4.69"
"1975100000","1975","31000","Tottori-ken","","1.28"
"1975100000","1975","32000","Shimane-ken","","1.26"
"1975100000","1975","33000","Okayama-ken","","1.45"
"1975100000","1975","34000","Hiroshima-ken","","1.24"
"1975100000","1975","35000","Yamaguchi-ken","","1.25"
"1975100000","1975","36000","Tokushima-ken","","1.43"
"1975100000","1975","37000","Kagawa-ken","","2.06"
"1975100000","1975","38000","Ehime-ken","","1.19"
"1975100000","1975","39000","Kochi-ken","","1.22"
"1975100000","1975","40000","Fukuoka-ken","","1.06"
"1975100000","1975","41000","Saga-ken","","1.30"
"1975100000","1975","42000","Nagasaki-ken","","1.58"
"1975100000","1975","43000","Kumamoto-ken","","0.78"
"1975100000","1975","44000","Oita-ken","","0.78"
"1975100000","1975","45000","Miyazaki-ken","","0.75"
"1975100000","1975","46000","Kagoshima-ken","","1.19"
"1975100000","1975","47000","Okinawa-ken","","1.28"
"1976100000","1976","00000","All Japan","","1.61"
"1976100000","1976","01000","Hokkaido","","1.00"
"1976100000","1976","02000","Aomori-ken","","0.92"
"1976100000","1976","03000","Iwate-ken","","1.25"
"1976100000","1976","04000","Miyagi-ken","","1.26"
"1976100000","1976","05000","Akita-ken","","2.06"
"1976100000","1976","06000","Yamagata-ken","","1.56"
"1976100000","1976","07000","Fukushima-ken","","0.84"
"1976100000","1976","08000","Ibaraki-ken","","1.61"
"1976100000","1976","09000","Tochigi-ken","","0.98"
"1976100000","1976","10000","Gumma-ken","","2.68"
"1976100000","1976","11000","Saitama-ken","","1.42"
"1976100000","1976","12000","Chiba-ken","","1.18"
"1976100000","1976","13000","Tokyo-to","","2.90"
"1976100000","1976","14000","Kanagawa-ken","","1.75"
"1976100000","1976","15000","Niigata-ken","","0.62"
"1976100000","1976","16000","Toyama-ken","","0.88"
"1976100000","1976","17000","Ishikawa-ken","","0.81"
"1976100000","1976","18000","Fukui-ken","","1.77"
"1976100000","1976","19000","Yamanashi-ken","","1.26"
"1976100000","1976","20000","Nagano-ken","","1.32"
"1976100000","1976","21000","Gifu-ken","","2.16"
"1976100000","1976","22000","Shizuoka-ken","","0.89"
"1976100000","1976","23000","Aichi-ken","","1.74"
"1976100000","1976","24000","Mie-ken","","2.30"
"1976100000","1976","25000","Shiga-ken","","1.26"
"1976100000","1976","26000","Kyoto-fu","","1.89"
"1976100000","1976","27000","Osaka-fu","","1.82"
"1976100000","1976","28000","Hyogo-ken","","1.26"
"1976100000","1976","29000","Nara-ken","","3.28"
