Year,City,Region
2019,Bangkok,Asia
2019,Jakarta,Asia
2019,Manila,Asia
2019,Singapore,Asia
2019,Kuala Lumpur,Asia
2019,Taipei,Asia
2019,Los Angeles,North America
2019,Chicago,North America
2019,Hamilton,North America
2019,Newark,North America
2019,Atlanta,North America
2019,Fort Worth,North America
2019,Amsterdam,Europe
2019,Manchester,Europe
2019,London,Europe
2019,Berlin,Europe
2019,Paris,Europe
2019,Barcelona,Europe
2019,Sydney,Oceania
2019,Melbourne,Oceania
2022,Seoul,Asia
2022,Dallas,North America
2022,Houston,North America
2022,Atlanta,North America
2022,Hamilton,North America
2022,Chicago,North America
2022,Newark,North America
2022,Los Angeles,North America
2022,London,Europe
2022,Barcelona,Europe
2022,Cologne,Europe
2022,Paris,Europe
2022,Berlin,Europe
2022,Amsterdam,Europe
2023,Bangkok,Asia
2023,Hong Kong,Asia
2023,Riyadh,Asia
2023,Abu Dhabi,Asia
2023,Kuala Lumpur,Asia
2023,Jakarta,Asia
2023,Kaohsiung,Asia
2023,Manila,Asia
2023,Singapore,Asia
2023,Melbourne,Oceania
2023,Sydney,Oceania
2023,Auckland,Oceania
2023,New Jersey,North America
2023,Las Vegas,North America
2023,San Francisco,North America
2023,Los Angeles,North America
2023,Seoul,Asia
