"FDI flows"
"Inward, Million US dollars, exchange rate converted, 2024-Q1"
"Category","Inward"
"OECD",193718.31905144
"United States",76044
"Netherlands",22039.778041897
"Mexico",20312.658750781
"Germany",19007.983284489
"Australia",17460.515925243
"Spain",11589.058938457
"France",7654.2457520408
"Poland",7163.9050443498
"Belgium",4444.8062520352
"Chile",3922.7388211677
"Colombia",3620.45776869
"Italy",3370.881363291
"Czechia",2374.7943544896
"Hungary",2213.8117309869
"Finland",1929.8816889178
"Greece",1528.9222034082
"Türkiye",1440.95
"Denmark",1230.9775881402
"Israel",1162.3
"Costa Rica",1134.8738211663
"Korea",1122.3
"Portugal",1087.5936177141
"Switzerland",497.85833054652
"Austria",451.53587322262
"Slovenia",406.20427656572
"Latvia",261.58688809291
"Japan",229.58021387937
"New Zealand",213.75635450481
"Iceland",-10.213865085253
"Lithuania",-73.200911755129
"Slovak Rep.",-193.16588933029
"Sweden",-471.69811320755
"Estonia",-610.69467057419
"Ireland",-1696.8192834039
"Norway",-2455.8801156245
"Canada",-2518.057469188
"Luxembourg",-3066.3193313796
"United Kingdom",-9103.5881830861
