country,iso3,date,edu
Italy,ITA,1970-01-01,3.36681008338928
France,FRA,1970-01-01,3.4297399520874
United Kingdom,GBR,1971-01-01,5.03205013275146
Japan,JPN,1971-01-01,3.57862997055054
Italy,ITA,1971-01-01,2.89877009391785
France,FRA,1971-01-01,3.17421007156372
Canada,CAN,1971-01-01,7.6842999458313
United Kingdom,GBR,1972-01-01,5.15937995910645
Japan,JPN,1972-01-01,3.92610001564026
France,FRA,1972-01-01,3.35917997360229
Canada,CAN,1972-01-01,7.58983993530273
United Kingdom,GBR,1973-01-01,5.44860982894897
Japan,JPN,1973-01-01,3.95707988739014
France,FRA,1973-01-01,3.23003005981445
Canada,CAN,1973-01-01,7.01386976242065
United Kingdom,GBR,1974-01-01,5.39099979400635
Japan,JPN,1974-01-01,3.95421004295349
Italy,ITA,1974-01-01,3.83513998985291
France,FRA,1974-01-01,4.24202013015747
Canada,CAN,1974-01-01,6.66716003417969
United Kingdom,GBR,1975-01-01,6.26878023147583
Japan,JPN,1975-01-01,4.56980991363525
Italy,ITA,1975-01-01,3.71161007881165
France,FRA,1975-01-01,4.42854022979736
Canada,CAN,1975-01-01,6.42131996154785
United Kingdom,GBR,1976-01-01,6.42422008514404
Japan,JPN,1976-01-01,4.74777984619141
Italy,ITA,1976-01-01,3.91951990127563
France,FRA,1976-01-01,4.42470979690552
Canada,CAN,1976-01-01,6.69842004776001
United Kingdom,GBR,1977-01-01,6.06335020065308
Japan,JPN,1977-01-01,4.73745012283325
France,FRA,1977-01-01,4.43521022796631
Canada,CAN,1977-01-01,6.71091985702515
Japan,JPN,1978-01-01,4.79044008255005
Italy,ITA,1978-01-01,3.78035998344421
France,FRA,1978-01-01,4.3451099395752
Canada,CAN,1978-01-01,7.07383012771606
Japan,JPN,1979-01-01,4.95000982284546
Italy,ITA,1979-01-01,4.16373014450073
France,FRA,1979-01-01,4.2811598777771
Canada,CAN,1979-01-01,6.69220018386841
United Kingdom,GBR,1980-01-01,5.07011985778809
Japan,JPN,1980-01-01,4.96105003356934
France,FRA,1980-01-01,4.30769014358521
Canada,CAN,1980-01-01,6.46289014816284
United Kingdom,GBR,1981-01-01,5.2884202003479
Japan,JPN,1981-01-01,4.95682001113892
France,FRA,1981-01-01,4.73072004318237
Canada,CAN,1981-01-01,6.409019947052
United Kingdom,GBR,1982-01-01,5.1887001991272
Japan,JPN,1982-01-01,4.93976020812988
France,FRA,1982-01-01,4.85202980041504
Canada,CAN,1982-01-01,6.49725008010864
United Kingdom,GBR,1983-01-01,5.06150007247925
Japan,JPN,1983-01-01,4.72346019744873
Italy,ITA,1983-01-01,4.48805999755859
France,FRA,1983-01-01,4.85234022140503
Canada,CAN,1983-01-01,6.85547018051147
United Kingdom,GBR,1984-01-01,4.89905977249146
Italy,ITA,1984-01-01,4.77456998825073
France,FRA,1984-01-01,4.86753988265991
Canada,CAN,1984-01-01,6.61841011047363
United Kingdom,GBR,1985-01-01,4.5940899848938
Italy,ITA,1985-01-01,4.68980979919434
France,FRA,1985-01-01,4.85157012939453
Canada,CAN,1985-01-01,6.18943023681641
United Kingdom,GBR,1986-01-01,4.38083982467651
Italy,ITA,1986-01-01,4.65490007400513
France,FRA,1986-01-01,4.70795011520386
Canada,CAN,1986-01-01,6.02058982849121
United Kingdom,GBR,1987-01-01,4.37180995941162
Japan,JPN,1987-01-01,5.48793983459473
France,FRA,1987-01-01,4.62343978881836
Canada,CAN,1987-01-01,6.29827976226807
United Kingdom,GBR,1988-01-01,4.26831007003784
Japan,JPN,1988-01-01,5.45283985137939
Italy,ITA,1988-01-01,4.59277009963989
France,FRA,1988-01-01,4.54472017288208
Canada,CAN,1988-01-01,6.15022993087769
United Kingdom,GBR,1989-01-01,4.12511014938354
Japan,JPN,1989-01-01,5.2743501663208
France,FRA,1989-01-01,4.45639991760254
Canada,CAN,1989-01-01,6.07406997680664
United Kingdom,GBR,1990-01-01,4.05552005767822
France,FRA,1990-01-01,4.51393985748291
Canada,CAN,1990-01-01,5.96922016143799
United Kingdom,GBR,1991-01-01,4.1224799156189
France,FRA,1991-01-01,4.84130001068115
Canada,CAN,1991-01-01,6.85951995849609
United Kingdom,GBR,1992-01-01,4.3344898223877
France,FRA,1992-01-01,4.73539018630981
Canada,CAN,1992-01-01,6.74663019180298
Japan,JPN,1993-01-01,3.36711001396179
Italy,ITA,1993-01-01,4.73389005661011
Germany,DEU,1993-01-01,4.40791988372803
France,FRA,1993-01-01,5.42959022521973
Canada,CAN,1993-01-01,7.67834997177124
United Kingdom,GBR,1994-01-01,4.850830078125
Japan,JPN,1994-01-01,3.5693199634552
Italy,ITA,1994-01-01,4.43331003189087
Germany,DEU,1994-01-01,4.33663988113403
France,FRA,1994-01-01,5.62643003463745
Canada,CAN,1994-01-01,6.65829992294312
United Kingdom,GBR,1995-01-01,4.83926010131836
Japan,JPN,1995-01-01,3.40211009979248
Italy,ITA,1995-01-01,4.31864976882935
Germany,DEU,1995-01-01,4.4307599067688
France,FRA,1995-01-01,5.79072999954224
Canada,CAN,1995-01-01,6.30476999282837
United Kingdom,GBR,1996-01-01,4.37826013565063
Italy,ITA,1996-01-01,4.44763994216919
Germany,DEU,1996-01-01,4.49470996856689
France,FRA,1996-01-01,5.75672006607056
United Kingdom,GBR,1998-01-01,4.20707988739014
Japan,JPN,1998-01-01,3.29797005653381
Italy,ITA,1998-01-01,4.45031023025513
Germany,DEU,1998-01-01,4.46187019348145
France,FRA,1998-01-01,5.68792009353638
Canada,CAN,1998-01-01,5.49377012252808
United Kingdom,GBR,1999-01-01,3.988450050354
Japan,JPN,1999-01-01,3.37812995910645
Italy,ITA,1999-01-01,4.51084995269775
Canada,CAN,1999-01-01,5.53079986572266
United States,USA,2000-01-01,6.08564949035645
United Kingdom,GBR,2000-01-01,4.01821994781494
Japan,JPN,2000-01-01,3.46011996269226
Italy,ITA,2000-01-01,4.29107999801636
Germany,DEU,2000-01-01,4.06815242767334
France,FRA,2000-01-01,5.60021924972534
Canada,CAN,2000-01-01,5.42331981658936
United States,USA,2001-01-01,6.29892301559448
United Kingdom,GBR,2001-01-01,4.10014009475708
Japan,JPN,2001-01-01,3.40082001686096
Italy,ITA,2001-01-01,4.65009021759033
Germany,DEU,2001-01-01,4.14708137512207
France,FRA,2001-01-01,5.61780023574829
Canada,CAN,2001-01-01,4.95303010940552
United States,USA,2002-01-01,6.35995531082153
United Kingdom,GBR,2002-01-01,4.61192989349365
Japan,JPN,2002-01-01,3.40898990631104
Italy,ITA,2002-01-01,4.43240976333618
Germany,DEU,2002-01-01,4.16305732727051
France,FRA,2002-01-01,5.78097534179688
Canada,CAN,2002-01-01,4.99308013916016
United States,USA,2003-01-01,6.3286075592041
United Kingdom,GBR,2003-01-01,4.8012900352478
Japan,JPN,2003-01-01,3.46662998199463
Italy,ITA,2003-01-01,4.54179000854492
