Year,Country,Productivity
1998,UK,81.9500883
1998,US,73.97377564
1998,EU,79.86628077
1999,UK,83.83136391
1999,US,76.15450805
1999,EU,81.54183297
2000,UK,87.22240254
2000,US,78.2463402
2000,EU,84.19819425
2001,UK,88.50794555
2001,US,79.97508171
2001,EU,85.91309638
2002,UK,90.44451661
2002,US,82.20026443
2002,EU,87.57992853
2003,UK,92.90955408
2003,US,84.69259958
2003,EU,88.40866388
2004,UK,94.12882694
2004,US,86.90084809
2004,EU,89.83702335
2005,UK,95.01594474
2005,US,88.71562028
2005,EU,90.88647117
2006,UK,96.82584157
2006,US,89.54418849
2006,EU,92.42968179
2007,UK,98.23726642
2007,US,90.81715586
2007,EU,93.32307604
2008,UK,98.21209168
2008,US,91.96990745
2008,EU,93.08886209
2009,UK,95.76564625
2009,US,94.91668868
2009,EU,92.02481819
2010,UK,98.24959793
2010,US,97.42360278
2010,EU,94.69588294
2011,UK,98.35313306
2011,US,97.4808703
2011,EU,96.5048074
2012,UK,97.73360323
2012,US,97.8403091
2012,EU,97.01250643
2013,UK,98.20642342
2013,US,98.52734735
2013,EU,97.92164193
2014,UK,98.42478799
2014,US,99.07567353
2014,EU,98.61689612
2015,UK,100
2015,US,100
2015,EU,100
2016,UK,99.40037406
2016,US,100.3573813
2016,EU,100.3629077
2017,UK,101.3663482
2017,US,101.4737702
2017,EU,102.0962798
2018,UK,101.576502
2018,US,102.7912193
2018,EU,102.7841819
2019,UK,102.0705762
2019,US,104.1805539
2019,EU,103.9278441
2020,UK,104.0076897
2020,US,108.9326577
2020,EU,105.3508261
2021,UK,103.2417332
2021,US,110.4277583
2021,EU,105.8179644
2022,UK,103.9901769
2022,US,108.6548202
2022,EU,106.4968878
2023,UK,103.5996052
2023,US,112.07
2023,EU,105.8988082
